userid,version,sum_gamerounds,retention_1,retention_7,ab_group
116,gate_30,3,0,0,control
337,gate_30,38,1,0,control
377,gate_40,165,1,0,treatment
483,gate_40,1,0,0,treatment
488,gate_40,179,1,1,treatment
540,gate_40,187,1,1,treatment
1066,gate_30,0,0,0,control
1444,gate_40,2,0,0,treatment
1574,gate_40,108,1,1,treatment
1587,gate_40,153,1,0,treatment
1842,gate_40,3,0,1,treatment
2101,gate_30,0,0,0,control
2132,gate_40,30,1,0,treatment
2179,gate_30,39,1,0,control
2218,gate_30,305,1,1,control
2382,gate_30,73,1,0,control
2392,gate_30,14,1,0,control
2451,gate_30,204,1,1,control
2482,gate_30,108,1,1,control
2502,gate_40,1,0,0,treatment
2530,gate_40,9,1,0,treatment
2534,gate_30,5,1,0,control
2695,gate_40,45,1,0,treatment
2729,gate_30,105,0,1,control
2829,gate_30,4,0,0,control
2963,gate_30,3,0,0,control
3095,gate_30,0,0,0,control
3132,gate_40,80,1,1,treatment
3186,gate_40,4,0,0,treatment
3199,gate_30,5,0,0,control
3204,gate_40,53,1,1,treatment
3413,gate_30,37,1,0,control
3690,gate_30,13,1,0,control
3696,gate_30,50,0,0,control
3993,gate_40,202,1,1,treatment
4076,gate_40,0,0,0,treatment
4162,gate_30,23,0,0,control
4176,gate_30,0,0,0,control
4283,gate_30,103,0,0,control
4594,gate_30,27,0,0,control
4653,gate_40,15,0,0,treatment
4881,gate_30,0,0,0,control
4902,gate_40,1,0,0,treatment
4916,gate_40,49,1,0,treatment
4918,gate_30,7,0,0,control
4929,gate_30,386,1,1,control
4945,gate_40,25,1,0,treatment
5066,gate_30,1,0,0,control
5215,gate_30,13,1,0,control
5286,gate_30,12,1,0,control
5345,gate_40,6,0,0,treatment
5479,gate_30,25,1,0,control
5550,gate_30,29,1,0,control
5661,gate_30,136,1,0,control
5712,gate_30,105,1,1,control
5920,gate_40,10,1,0,treatment
5943,gate_40,76,0,0,treatment
6099,gate_40,138,0,0,treatment
6123,gate_30,0,0,0,control
6151,gate_30,94,1,1,control
6156,gate_40,1,0,0,treatment
6492,gate_30,0,0,0,control
6664,gate_40,26,1,0,treatment
6695,gate_40,127,1,0,treatment
6833,gate_40,6,0,0,treatment
6842,gate_40,4,0,0,treatment
6924,gate_30,21,0,0,control
6930,gate_40,297,1,1,treatment
7124,gate_40,108,1,1,treatment
7253,gate_30,45,1,0,control
7321,gate_40,33,0,0,treatment
7509,gate_40,0,0,0,treatment
7527,gate_30,80,0,0,control
7564,gate_30,21,0,0,control
7582,gate_40,3,0,0,treatment
7767,gate_30,139,1,1,control
7866,gate_30,14,0,0,control
8063,gate_30,50,1,0,control
8254,gate_40,14,0,0,treatment
8256,gate_40,14,0,0,treatment
8288,gate_30,9,0,0,control
8317,gate_40,3,0,0,treatment
8379,gate_30,0,0,0,control
8464,gate_30,10,0,0,control
8465,gate_40,4,0,0,treatment
8494,gate_30,5,1,0,control
8644,gate_30,2,0,0,control
8679,gate_30,0,0,0,control
8692,gate_30,3,1,0,control
8753,gate_40,10,1,0,treatment
8788,gate_30,19,0,1,control
8801,gate_40,0,0,0,treatment
8885,gate_40,5,0,0,treatment
9001,gate_40,16,1,0,treatment
9308,gate_40,95,1,0,treatment
9443,gate_40,3,0,0,treatment
9589,gate_30,8,0,0,control
9699,gate_40,8,0,0,treatment
9828,gate_40,1,0,0,treatment
9831,gate_40,3,0,0,treatment
9849,gate_40,1,0,0,treatment
10112,gate_30,6,0,0,control
10200,gate_40,106,0,1,treatment
10218,gate_30,22,1,0,control
10276,gate_40,1,0,0,treatment
10336,gate_30,11,0,0,control
10476,gate_40,4,0,0,treatment
10533,gate_40,21,0,0,treatment
10598,gate_40,8,0,0,treatment
